1. p1: 0.9386916856690686	p2: 0.617086058771529		p3: 0.004819967640182554		p4: 0.16152085898207524	Occurrences: 18
2. p1: 0.4668422901996382	p2: 0.034408865614961925		p3: 0.1280230772143801		p4: 0.0565980970966381	Occurrences: 17
3. p1: 0.12945814020551594	p2: 0.11105237546546898		p3: 0.4014415646052446		p4: 0.19975862431587976	Occurrences: 14
4. p1: 0.07112093280590404	p2: 0.22365372683618456		p3: 0.13046759496613092		p4: 0.4238676226119069	Occurrences: 11
5. p1: 0.08920324639530786	p2: 0.1634965304567253		p3: 0.040333814189603356		p4: 0.28292726174737015	Occurrences: 7
6. p1: 0.19200000621176772	p2: 0.17648981708489664		p3: 0.01708330695419047		p4: 0.3235854141584329	Occurrences: 3
7. p1: 0.9208643147219199	p2: 0.4678845864741281		p3: 0.44109359893012223		p4: 0.3579455208069169	Occurrences: 3
8. p1: 0.8330677410857177	p2: 0.029750817775340943		p3: 0.4102496355259774		p4: 0.37586504150331657	Occurrences: 2
9. p1: 0.06547075823997184	p2: 0.023931820465109555		p3: 0.7153573988569404		p4: 0.14232191232545166	Occurrences: 2
10. p1: 0.5542862065328531	p2: 0.004094791230506378		p3: 0.29141015812809723		p4: 0.05270115340389714	Occurrences: 1
