1. p1: 0.9759943093668394	p2: 0.007844406044174468		p3: 0.2544664828209473		p4: 0.4079207029561329	Occurrences: 1051
2. p1: 0.9235177412640057	p2: 0.13788801999950717		p3: 0.13725028456281452		p4: 0.3519952549536266	Occurrences: 340
3. p1: 0.39614822088690527	p2: 0.7370396168561979		p3: 0.03333654614194492		p4: 0.05892100780874421	Occurrences: 245
4. p1: 0.8423629051900956	p2: 0.2240750583766008		p3: 0.8575100751763575		p4: 0.31466821321545746	Occurrences: 242
5. p1: 0.8408140769226955	p2: 0.14242335648089777		p3: 0.14856708998595114		p4: 0.4340175485840553	Occurrences: 156
6. p1: 0.16183670493939573	p2: 0.5662345264678607		p3: 0.0328442252472112		p4: 0.08003961483570798	Occurrences: 73
7. p1: 0.8874846281881937	p2: 0.03664292638368716		p3: 0.755979247992707		p4: 0.4052234661829158	Occurrences: 58
8. p1: 0.3857217933299266	p2: 0.051769463418495976		p3: 0.9395908620144577		p4: 0.36000816176770134	Occurrences: 54
9. p1: 0.7726156693290018	p2: 0.08520168449760523		p3: 0.011189359337223759		p4: 0.6764433456288795	Occurrences: 13
10. p1: 0.9353650320509843	p2: 0.6732764987702353		p3: 0.00895721472049471		p4: 0.020430828902312292	Occurrences: 2
