1. p1: 0.7530997555461674	p2: 0.1975973722828861		p3: 0.8499717520882516		p4: 0.27253050287810865	Occurrences: 336
2. p1: 0.8408140769226955	p2: 0.14242335648089777		p3: 0.14856708998595114		p4: 0.4340175485840553	Occurrences: 259
3. p1: 0.9235177412640057	p2: 0.13788801999950717		p3: 0.13725028456281452		p4: 0.3519952549536266	Occurrences: 187
4. p1: 0.16183670493939573	p2: 0.5662345264678607		p3: 0.0328442252472112		p4: 0.08003961483570798	Occurrences: 118
5. p1: 0.8874846281881937	p2: 0.03664292638368716		p3: 0.755979247992707		p4: 0.4052234661829158	Occurrences: 113
6. p1: 0.8715911847676661	p2: 0.18216341742391984		p3: 0.11178141013933429		p4: 0.23288312929046007	Occurrences: 72
7. p1: 0.9828634414599628	p2: 0.39256810869531766		p3: 0.19994423779595105		p4: 0.08116211654356242	Occurrences: 63
8. p1: 0.7726156693290018	p2: 0.08520168449760523		p3: 0.011189359337223759		p4: 0.6764433456288795	Occurrences: 46
9. p1: 0.06214835676398289	p2: 0.5927542333376024		p3: 0.002523851808547195		p4: 0.07060490432282318	Occurrences: 23
10. p1: 0.9353650320509843	p2: 0.6732764987702353		p3: 0.00895721472049471		p4: 0.020430828902312292	Occurrences: 11
