1. p1: 0.8715911847676661	p2: 0.18216341742391984		p3: 0.11178141013933429		p4: 0.23288312929046007	Occurrences: 102
2. p1: 0.8766701384131003	p2: 0.34866907248274137		p3: 0.23389094247696374		p4: 0.35725097522641724	Occurrences: 80
3. p1: 0.7227030641171179	p2: 0.11278991516571335		p3: 0.03917684103933061		p4: 0.37426794068705704	Occurrences: 62
4. p1: 0.2022597941180121	p2: 0.6458654707341384		p3: 0.025094259811970332		p4: 0.08847896992219728	Occurrences: 44
5. p1: 0.9949316482651333	p2: 0.4749332418371983		p3: 0.2228703468007719		p4: 0.2675328783265527	Occurrences: 31
6. p1: 0.9282905234678405	p2: 0.007186006154896507		p3: 0.2621602118676051		p4: 0.1647163362509424	Occurrences: 22
7. p1: 0.8053984886404654	p2: 0.1797925339558748		p3: 0.3754140184774015		p4: 0.35391003894557194	Occurrences: 20
8. p1: 0.4668422901996382	p2: 0.034408865614961925		p3: 0.1280230772143801		p4: 0.0565980970966381	Occurrences: 18
9. p1: 0.7280745863396685	p2: 0.4551384475900937		p3: 0.030796699990721543		p4: 0.04837834818121556	Occurrences: 11
10. p1: 0.9513623648259829	p2: 0.37203539463951274		p3: 0.10165536129129826		p4: 0.1434103376047402	Occurrences: 4
