1. p1: 0.8874846281881937	p2: 0.03664292638368716		p3: 0.755979247992707		p4: 0.4052234661829158	Occurrences: 246
2. p1: 0.06214835676398289	p2: 0.5927542333376024		p3: 0.002523851808547195		p4: 0.07060490432282318	Occurrences: 224
3. p1: 0.8408140769226955	p2: 0.14242335648089777		p3: 0.14856708998595114		p4: 0.4340175485840553	Occurrences: 189
4. p1: 0.16183670493939573	p2: 0.5662345264678607		p3: 0.0328442252472112		p4: 0.08003961483570798	Occurrences: 142
5. p1: 0.9828634414599628	p2: 0.39256810869531766		p3: 0.19994423779595105		p4: 0.08116211654356242	Occurrences: 126
6. p1: 0.45524462584317305	p2: 0.10068167722698329		p3: 0.9654079798931371		p4: 0.11379025169313306	Occurrences: 93
7. p1: 0.8715911847676661	p2: 0.18216341742391984		p3: 0.11178141013933429		p4: 0.23288312929046007	Occurrences: 70
8. p1: 0.9353650320509843	p2: 0.6732764987702353		p3: 0.00895721472049471		p4: 0.020430828902312292	Occurrences: 48
9. p1: 0.8766701384131003	p2: 0.34866907248274137		p3: 0.23389094247696374		p4: 0.35725097522641724	Occurrences: 10
10. p1: 0.7227030641171179	p2: 0.11278991516571335		p3: 0.03917684103933061		p4: 0.37426794068705704	Occurrences: 4
