1. p1: 0.03930566090252807	p2: 0.1435962942139548		p3: 0.3423913888905259		p4: 0.1809703639439314	Occurrences: 7
2. p1: 0.20486662494886299	p2: 0.5499990427553436		p3: 0.030023511368458378		p4: 0.31170846591692813	Occurrences: 6
3. p1: 0.40858435214793853	p2: 0.33324335112285464		p3: 0.2732068561423019		p4: 0.13818614301773535	Occurrences: 6
4. p1: 0.09146493933307409	p2: 0.12558945372192343		p3: 0.517200335817551		p4: 0.11028487578433577	Occurrences: 6
5. p1: 0.16518690488099153	p2: 0.5340483095712301		p3: 0.23299941987327955		p4: 0.056378490925571345	Occurrences: 3
6. p1: 0.32595735275839366	p2: 0.00867163018782291		p3: 0.5238912965404352		p4: 0.3914656592745881	Occurrences: 3
7. p1: 0.28791817999280844	p2: 0.1380298248334796		p3: 0.3249454087292136		p4: 0.02105066920318055	Occurrences: 3
8. p1: 0.7149985097671281	p2: 0.37658697816504183		p3: 0.17073003863141678		p4: 0.021395630919823105	Occurrences: 2
9. p1: 0.8696636740177448	p2: 0.19694500432252238		p3: 0.3972124875918339		p4: 0.3184889085423531	Occurrences: 2
10. p1: 0.1610213462380793	p2: 0.13602775978242054		p3: 0.02058066112478396		p4: 0.5019386100663846	Occurrences: 1
