1. p1: 0.3632892806099831	p2: 0.25934045303584297		p3: 0.024972397350207065		p4: 0.009254793511893289	Occurrences: 170
2. p1: 0.41949976135134714	p2: 0.5562226180566404		p3: 0.12918481711748675		p4: 0.08563959267882548	Occurrences: 164
3. p1: 0.04526038334135085	p2: 0.6179203701707706		p3: 0.16786037530397435		p4: 0.05482568220018014	Occurrences: 127
4. p1: 0.10147813185930588	p2: 0.2480276937045255		p3: 0.131331524903051		p4: 0.0346249892744831	Occurrences: 118
5. p1: 0.716972359759006	p2: 0.4187753581676905		p3: 0.037732608790004285		p4: 0.060948159500576415	Occurrences: 97
6. p1: 0.5589336772141981	p2: 0.25922581539696987		p3: 0.10652221378020899		p4: 0.026176952940974774	Occurrences: 66
7. p1: 0.16231899500343117	p2: 0.13789093896995175		p3: 0.05220200460282454		p4: 0.04411762220400828	Occurrences: 61
8. p1: 0.3446336809758571	p2: 0.5242922583263304		p3: 0.09684274415447391		p4: 0.0748276869853276	Occurrences: 39
9. p1: 0.7855967576832938	p2: 0.08412136812090787		p3: 0.12723609409496706		p4: 0.09038541140864775	Occurrences: 7
10. p1: 0.9173917500364387	p2: 0.0887529303110467		p3: 0.0043179538625161		p4: 0.03177116633753274	Occurrences: 5
