1. p1: 0.3769789187517496	p2: 0.11082752712796329		p3: 0.3260993781706961		p4: 0.023935476439814307	Occurrences: 43
2. p1: 0.35651082258280065	p2: 0.3622287638175127		p3: 0.019329305891516713		p4: 0.05978672481378944	Occurrences: 40
3. p1: 0.16245013108082418	p2: 0.20178552937193728		p3: 0.07399890912650342		p4: 0.2704230379149757	Occurrences: 36
4. p1: 0.2319594639494953	p2: 0.18732975391039308		p3: 0.8508763120528827		p4: 0.2397212275355476	Occurrences: 28
5. p1: 0.1814269836115936	p2: 0.1904756170418771		p3: 0.11159345925371777		p4: 0.21042737916818122	Occurrences: 27
6. p1: 0.7024078184506312	p2: 0.20772631822353715		p3: 0.0045844669045014275		p4: 0.15717148456539543	Occurrences: 20
7. p1: 0.6341489975701816	p2: 0.6839093184225191		p3: 0.23301141547296933		p4: 0.031101496944177742	Occurrences: 11
8. p1: 0.6341489975701816	p2: 0.6839093184225191		p3: 0.23301141547296933		p4: 0.031101496944177742	Occurrences: 11
9. p1: 0.23290936357993652	p2: 0.19345584027699414		p3: 0.1957488111784199		p4: 0.17506909007892146	Occurrences: 11
10. p1: 0.8446457433003586	p2: 0.2218419292196263		p3: 0.17627868062743357		p4: 0.04878407709531929	Occurrences: 6
