1. p1: 0.16231899500343117	p2: 0.13789093896995175		p3: 0.05220200460282454		p4: 0.04411762220400828	Occurrences: 90
2. p1: 0.5589336772141981	p2: 0.25922581539696987		p3: 0.10652221378020899		p4: 0.026176952940974774	Occurrences: 83
3. p1: 0.36746255555226315	p2: 0.2496103515531548		p3: 0.13192537423514894		p4: 0.11864451859027136	Occurrences: 65
4. p1: 0.27309301479044024	p2: 0.2306141062848035		p3: 0.09342512498158662		p4: 0.09884719016820298	Occurrences: 49
5. p1: 0.7855967576832938	p2: 0.08412136812090787		p3: 0.12723609409496706		p4: 0.09038541140864775	Occurrences: 48
6. p1: 0.0015561780270615388	p2: 0.7110387149907533		p3: 0.03723335512062387		p4: 0.15748708025509395	Occurrences: 43
7. p1: 0.7372943416154261	p2: 0.20504209438584098		p3: 0.08919004811363995		p4: 0.08228128339973217	Occurrences: 20
8. p1: 0.35651082258280065	p2: 0.3622287638175127		p3: 0.019329305891516713		p4: 0.05978672481378944	Occurrences: 17
9. p1: 0.2885211428661414	p2: 0.5578430499543572		p3: 0.213667091350764		p4: 0.0028458179184852606	Occurrences: 4
10. p1: 0.7024078184506312	p2: 0.20772631822353715		p3: 0.0045844669045014275		p4: 0.15717148456539543	Occurrences: 3
