1. p1: 0.16231899500343117	p2: 0.13789093896995175		p3: 0.05220200460282454		p4: 0.04411762220400828	Occurrences: 38
2. p1: 0.16245013108082418	p2: 0.20178552937193728		p3: 0.07399890912650342		p4: 0.2704230379149757	Occurrences: 29
3. p1: 0.15601110551774855	p2: 0.36630284472457464		p3: 0.22478794889464382		p4: 0.09007033742782711	Occurrences: 20
4. p1: 0.9520787476331833	p2: 0.3067803036685419		p3: 4.8217264350503E-4		p4: 0.23950810485851726	Occurrences: 18
5. p1: 0.1814269836115936	p2: 0.1904756170418771		p3: 0.11159345925371777		p4: 0.21042737916818122	Occurrences: 18
6. p1: 0.6341489975701816	p2: 0.6839093184225191		p3: 0.23301141547296933		p4: 0.031101496944177742	Occurrences: 8
7. p1: 0.2302657682166328	p2: 0.395132121500282		p3: 0.21772290019914786		p4: 0.018797865999274577	Occurrences: 8
8. p1: 0.3769789187517496	p2: 0.11082752712796329		p3: 0.3260993781706961		p4: 0.023935476439814307	Occurrences: 4
9. p1: 0.026933201160551312	p2: 0.4117424097656398		p3: 0.3297047854047419		p4: 0.051970030433205805	Occurrences: 1
10. p1: 0.46279939871880116	p2: 0.6265908628997893		p3: 0.20865912776574203		p4: 0.005389465943905325	Occurrences: 1
