1. p1: 0.1924903259444225	p2: 0.5375003498011257		p3: 0.24930600058197316		p4: 0.02301629162906671	Occurrences: 157
2. p1: 0.16231899500343117	p2: 0.13789093896995175		p3: 0.05220200460282454		p4: 0.04411762220400828	Occurrences: 102
3. p1: 0.7855967576832938	p2: 0.08412136812090787		p3: 0.12723609409496706		p4: 0.09038541140864775	Occurrences: 100
4. p1: 0.3632892806099831	p2: 0.25934045303584297		p3: 0.024972397350207065		p4: 0.009254793511893289	Occurrences: 85
5. p1: 0.3769789187517496	p2: 0.11082752712796329		p3: 0.3260993781706961		p4: 0.023935476439814307	Occurrences: 79
6. p1: 0.5589336772141981	p2: 0.25922581539696987		p3: 0.10652221378020899		p4: 0.026176952940974774	Occurrences: 71
7. p1: 0.9173917500364387	p2: 0.0887529303110467		p3: 0.0043179538625161		p4: 0.03177116633753274	Occurrences: 68
8. p1: 0.35651082258280065	p2: 0.3622287638175127		p3: 0.019329305891516713		p4: 0.05978672481378944	Occurrences: 67
9. p1: 0.27309301479044024	p2: 0.2306141062848035		p3: 0.09342512498158662		p4: 0.09884719016820298	Occurrences: 66
10. p1: 0.7372943416154261	p2: 0.20504209438584098		p3: 0.08919004811363995		p4: 0.08228128339973217	Occurrences: 55
