1. p1: 0.7372943416154261	p2: 0.20504209438584098		p3: 0.08919004811363995		p4: 0.08228128339973217	Occurrences: 81
2. p1: 0.27309301479044024	p2: 0.2306141062848035		p3: 0.09342512498158662		p4: 0.09884719016820298	Occurrences: 77
3. p1: 0.0015561780270615388	p2: 0.7110387149907533		p3: 0.03723335512062387		p4: 0.15748708025509395	Occurrences: 69
4. p1: 0.36746255555226315	p2: 0.2496103515531548		p3: 0.13192537423514894		p4: 0.11864451859027136	Occurrences: 51
5. p1: 0.3769789187517496	p2: 0.11082752712796329		p3: 0.3260993781706961		p4: 0.023935476439814307	Occurrences: 50
6. p1: 0.2885211428661414	p2: 0.5578430499543572		p3: 0.213667091350764		p4: 0.0028458179184852606	Occurrences: 40
7. p1: 0.35651082258280065	p2: 0.3622287638175127		p3: 0.019329305891516713		p4: 0.05978672481378944	Occurrences: 39
8. p1: 0.5360362237397752	p2: 0.7064429663971901		p3: 0.08549121266249626		p4: 0.030164078835583807	Occurrences: 37
9. p1: 0.7024078184506312	p2: 0.20772631822353715		p3: 0.0045844669045014275		p4: 0.15717148456539543	Occurrences: 25
10. p1: 0.3000916645087086	p2: 0.8395476665242398		p3: 0.10367855975031826		p4: 0.024622784598807512	Occurrences: 25
