1. p1: 0.1814269836115936	p2: 0.1904756170418771		p3: 0.11159345925371777		p4: 0.21042737916818122	Occurrences: 36
2. p1: 0.15601110551774855	p2: 0.36630284472457464		p3: 0.22478794889464382		p4: 0.09007033742782711	Occurrences: 35
3. p1: 0.16231899500343117	p2: 0.13789093896995175		p3: 0.05220200460282454		p4: 0.04411762220400828	Occurrences: 27
4. p1: 0.3769789187517496	p2: 0.11082752712796329		p3: 0.3260993781706961		p4: 0.023935476439814307	Occurrences: 21
5. p1: 0.6341489975701816	p2: 0.6839093184225191		p3: 0.23301141547296933		p4: 0.031101496944177742	Occurrences: 19
6. p1: 0.23290936357993652	p2: 0.19345584027699414		p3: 0.1957488111784199		p4: 0.17506909007892146	Occurrences: 13
7. p1: 0.9520787476331833	p2: 0.3067803036685419		p3: 4.8217264350503E-4		p4: 0.23950810485851726	Occurrences: 9
8. p1: 0.34726255800855843	p2: 0.08072770607164559		p3: 0.3792678307859396		p4: 0.08221051476622421	Occurrences: 6
9. p1: 0.2302657682166328	p2: 0.395132121500282		p3: 0.21772290019914786		p4: 0.018797865999274577	Occurrences: 4
10. p1: 0.2324429617821967	p2: 0.03608595118555824		p3: 0.6819380052488749		p4: 0.14252812531620562	Occurrences: 1
