1. p1: 0.3632892806099831	p2: 0.25934045303584297		p3: 0.024972397350207065		p4: 0.009254793511893289	Occurrences: 340
2. p1: 0.7394240304434517	p2: 0.07559615780678108		p3: 0.05176531499315007		p4: 0.003047731798695996	Occurrences: 306
3. p1: 0.1924903259444225	p2: 0.5375003498011257		p3: 0.24930600058197316		p4: 0.02301629162906671	Occurrences: 175
4. p1: 0.05939772682473787	p2: 0.019210410800362565		p3: 0.12013969210582842		p4: 0.07419264992869001	Occurrences: 87
5. p1: 0.5589336772141981	p2: 0.25922581539696987		p3: 0.10652221378020899		p4: 0.026176952940974774	Occurrences: 53
6. p1: 0.04526038334135085	p2: 0.6179203701707706		p3: 0.16786037530397435		p4: 0.05482568220018014	Occurrences: 52
7. p1: 0.41949976135134714	p2: 0.5562226180566404		p3: 0.12918481711748675		p4: 0.08563959267882548	Occurrences: 51
8. p1: 0.16231899500343117	p2: 0.13789093896995175		p3: 0.05220200460282454		p4: 0.04411762220400828	Occurrences: 49
9. p1: 0.10147813185930588	p2: 0.2480276937045255		p3: 0.131331524903051		p4: 0.0346249892744831	Occurrences: 43
10. p1: 0.716972359759006	p2: 0.4187753581676905		p3: 0.037732608790004285		p4: 0.060948159500576415	Occurrences: 2
