1. p1: 0.3116648498529634	p2: 0.2041851361244238		p3: 0.4711730639229872		p4: 0.08725697125791065	Occurrences: 19
2. p1: 0.6949849320785185	p2: 0.14948991100640885		p3: 0.1358574958125669		p4: 0.24577594851953322	Occurrences: 11
3. p1: 0.4578755996594437	p2: 0.3475638322884531		p3: 0.12833020711332466		p4: 0.2068924282068273	Occurrences: 10
4. p1: 0.9295769085095118	p2: 0.7966268698336527		p3: 0.007326607398189022		p4: 0.05358750166364956	Occurrences: 9
5. p1: 0.9295769085095118	p2: 0.7966268698336527		p3: 0.007326607398189022		p4: 0.05358750166364956	Occurrences: 9
6. p1: 0.1653042438505753	p2: 0.8487893509800492		p3: 0.14914478401144837		p4: 0.10068022337107008	Occurrences: 9
7. p1: 0.7027641048667386	p2: 0.8177110154960501		p3: 0.20049116873016837		p4: 0.0998580252313106	Occurrences: 7
8. p1: 0.9753023648184653	p2: 0.023969177935874275		p3: 0.8888639124387501		p4: 0.16498931008822626	Occurrences: 7
9. p1: 0.30795825735494076	p2: 0.05487133310628822		p3: 0.9362230016868658		p4: 0.31988416677006026	Occurrences: 2
10. p1: 0.3286939796648577	p2: 0.15119904987779664		p3: 0.28210730422542185		p4: 0.3020664550957418	Occurrences: 2
