1. p1: 0.24759127022496197	p2: 0.7715966803762939		p3: 0.1459211995831503		p4: 0.20118759716062118	Occurrences: 10
2. p1: 0.6341489975701816	p2: 0.6839093184225191		p3: 0.23301141547296933		p4: 0.031101496944177742	Occurrences: 9
3. p1: 0.23290936357993652	p2: 0.19345584027699414		p3: 0.1957488111784199		p4: 0.17506909007892146	Occurrences: 9
4. p1: 0.9295769085095118	p2: 0.7966268698336527		p3: 0.007326607398189022		p4: 0.05358750166364956	Occurrences: 8
5. p1: 0.24943043114858376	p2: 0.17814558587629914		p3: 0.7618897592836358		p4: 0.5004047846714427	Occurrences: 6
6. p1: 0.0686314558457981	p2: 0.6342611962237985		p3: 0.041683722448973004		p4: 0.2449398590626748	Occurrences: 6
7. p1: 0.2541397612587838	p2: 0.29688797343363604		p3: 0.6185954200957964		p4: 0.22965784268885636	Occurrences: 6
8. p1: 0.3941845869699231	p2: 0.17637540203632118		p3: 0.2993714981289798		p4: 0.24610887858342312	Occurrences: 4
9. p1: 0.8786987787406801	p2: 0.008000867834772607		p3: 0.7219306531528513		p4: 0.37410889268783887	Occurrences: 4
10. p1: 0.48421252439882734	p2: 0.015029847261984863		p3: 0.7210268781782214		p4: 0.08748817173239243	Occurrences: 3
